AB index,层/投影/AB 标识,输出维度,输入维度,A 平均 Frobenius 范数,B 平均 Frobenius 范数,A 平均最大绝对值,B 平均最大绝对值
0,base_model.model.model.layers.0.self_attn.k_proj.lora.default,3200,3200,1.1906358493612015,0.3233913577958373,0.024984702467918396,0.009068305836990476
1,base_model.model.model.layers.0.self_attn.o_proj.lora.default,3200,3200,1.1997597655169794,0.2830803514467084,0.02469710446894169,0.009173403028398752
2,base_model.model.model.layers.0.self_attn.q_proj.lora.default,3200,3200,1.1937704737809027,0.31824715374967477,0.02579860109835863,0.009330247528851032
3,base_model.model.model.layers.0.self_attn.v_proj.lora.default,3200,3200,1.1718622276746853,0.2798420653271412,0.04452905710786581,0.008063980028964579
4,base_model.model.model.layers.1.self_attn.k_proj.lora.default,3200,3200,1.199330242971202,0.3041319674057903,0.024477435275912285,0.009307284839451313
5,base_model.model.model.layers.1.self_attn.o_proj.lora.default,3200,3200,1.2091956349294488,0.3000953270664556,0.025900228414684534,0.009380077943205833
6,base_model.model.model.layers.1.self_attn.q_proj.lora.default,3200,3200,1.1913318671731943,0.3061798481243173,0.024817594792693853,0.009109074017032981
7,base_model.model.model.layers.1.self_attn.v_proj.lora.default,3200,3200,1.192743412257844,0.2982593351280811,0.03698624996468425,0.010904723079875112
8,base_model.model.model.layers.10.self_attn.k_proj.lora.default,3200,3200,1.2012581618891018,0.28973182121176555,0.024475193116813898,0.009098800597712398
9,base_model.model.model.layers.10.self_attn.o_proj.lora.default,3200,3200,1.2733539125430042,0.35210391647427064,0.026911179069429636,0.009902834193781018
10,base_model.model.model.layers.10.self_attn.q_proj.lora.default,3200,3200,1.1926391511863172,0.28733594651828337,0.024871833622455597,0.012936132261529565
11,base_model.model.model.layers.10.self_attn.v_proj.lora.default,3200,3200,1.2583465413556816,0.3286217731029996,0.026225514709949493,0.009490448981523514
12,base_model.model.model.layers.11.self_attn.k_proj.lora.default,3200,3200,1.203624579197196,0.30498570694830107,0.025113366078585386,0.009421824244782329
13,base_model.model.model.layers.11.self_attn.o_proj.lora.default,3200,3200,1.2760306732309479,0.3623447807457133,0.027236873749643564,0.010254839668050408
14,base_model.model.model.layers.11.self_attn.q_proj.lora.default,3200,3200,1.203307479822281,0.3037177802756167,0.025040815118700266,0.009062343975529075
15,base_model.model.model.layers.11.self_attn.v_proj.lora.default,3200,3200,1.2726085710713,0.3483820774095116,0.026378987357020378,0.00972594739869237
16,base_model.model.model.layers.12.self_attn.k_proj.lora.default,3200,3200,1.2098974860122191,0.31021203232273636,0.02556263841688633,0.009808342903852463
17,base_model.model.model.layers.12.self_attn.o_proj.lora.default,3200,3200,1.2743804054707764,0.34667305551334404,0.026834559626877308,0.009969419101253152
18,base_model.model.model.layers.12.self_attn.q_proj.lora.default,3200,3200,1.19990073416728,0.29942554509401975,0.024779956322163343,0.009640230564400554
19,base_model.model.model.layers.12.self_attn.v_proj.lora.default,3200,3200,1.270832153321635,0.3510862595955533,0.026388708502054214,0.009572454262524843
20,base_model.model.model.layers.13.self_attn.k_proj.lora.default,3200,3200,1.205975237882444,0.30327872692734387,0.025150973815470934,0.009359685238450766
21,base_model.model.model.layers.13.self_attn.o_proj.lora.default,3200,3200,1.2575117895427916,0.3430407249219516,0.02707728510722518,0.009648141916841269
22,base_model.model.model.layers.13.self_attn.q_proj.lora.default,3200,3200,1.1977547138902298,0.2985623954178109,0.024927949532866478,0.009385618614032865
23,base_model.model.model.layers.13.self_attn.v_proj.lora.default,3200,3200,1.2523081629754498,0.3407354720330235,0.026044837199151516,0.009781465632840991
24,base_model.model.model.layers.14.self_attn.k_proj.lora.default,3200,3200,1.2014556566325683,0.30534409681240104,0.025142902974039316,0.009231035364791751
25,base_model.model.model.layers.14.self_attn.o_proj.lora.default,3200,3200,1.2549009784665168,0.3553714901517988,0.026146545074880123,0.009915600065141916
26,base_model.model.model.layers.14.self_attn.q_proj.lora.default,3200,3200,1.204023857653656,0.3023031377257418,0.02511833468452096,0.00937996944412589
27,base_model.model.model.layers.14.self_attn.v_proj.lora.default,3200,3200,1.2531665347981404,0.3375917119814856,0.02703957911580801,0.010141471866518259
28,base_model.model.model.layers.15.self_attn.k_proj.lora.default,3200,3200,1.198168707412504,0.29212575226097215,0.02417189860716462,0.00884730345569551
29,base_model.model.model.layers.15.self_attn.o_proj.lora.default,3200,3200,1.246008080771646,0.3369392858712959,0.026407501194626093,0.009236178360879421
30,base_model.model.model.layers.15.self_attn.q_proj.lora.default,3200,3200,1.1981583049906965,0.2973899434598042,0.024333564564585686,0.00865123886615038
31,base_model.model.model.layers.15.self_attn.v_proj.lora.default,3200,3200,1.2262094629559688,0.3246762426626223,0.026143433060497046,0.009642623132094741
32,base_model.model.model.layers.16.self_attn.k_proj.lora.default,3200,3200,1.2321232672782554,0.31089727670283673,0.025509781669825315,0.009355532703921199
33,base_model.model.model.layers.16.self_attn.o_proj.lora.default,3200,3200,1.2520788248000787,0.33197827632646654,0.026703185867518187,0.009475490311160684
34,base_model.model.model.layers.16.self_attn.q_proj.lora.default,3200,3200,1.2327513240005477,0.3177807910120143,0.02547737304121256,0.009668863145634532
35,base_model.model.model.layers.16.self_attn.v_proj.lora.default,3200,3200,1.2589804645005804,0.32664832694303403,0.026903945486992598,0.009904821636155248
36,base_model.model.model.layers.17.self_attn.k_proj.lora.default,3200,3200,1.2350698278467087,0.3479992679368841,0.025880969129502773,0.01025679660961032
37,base_model.model.model.layers.17.self_attn.o_proj.lora.default,3200,3200,1.2421506669138638,0.3372988916818792,0.027107049711048603,0.00966270687058568
38,base_model.model.model.layers.17.self_attn.q_proj.lora.default,3200,3200,1.2458347656567648,0.35805706637328477,0.026413927786052227,0.009917054791003466
39,base_model.model.model.layers.17.self_attn.v_proj.lora.default,3200,3200,1.263480263006969,0.3528562145421824,0.02654718840494752,0.010115423705428839
40,base_model.model.model.layers.18.self_attn.k_proj.lora.default,3200,3200,1.2126690532134319,0.3158536246428917,0.025240863673388958,0.009346842998638749
41,base_model.model.model.layers.18.self_attn.o_proj.lora.default,3200,3200,1.2395793339749446,0.3394516159399167,0.02572406781837344,0.00916290283203125
42,base_model.model.model.layers.18.self_attn.q_proj.lora.default,3200,3200,1.2015497080999982,0.3020211084687362,0.02477636421099305,0.00956080062314868
43,base_model.model.model.layers.18.self_attn.v_proj.lora.default,3200,3200,1.259057712180046,0.33544282057750174,0.026495574973523617,0.010045369155704975
44,base_model.model.model.layers.19.self_attn.k_proj.lora.default,3200,3200,1.219954870616176,0.3106445296395415,0.025593063328415155,0.009797783568501472
45,base_model.model.model.layers.19.self_attn.o_proj.lora.default,3200,3200,1.2544774322660195,0.36845567120569667,0.02669177995994687,0.009594557574018836
46,base_model.model.model.layers.19.self_attn.q_proj.lora.default,3200,3200,1.214137652930581,0.3121901080249299,0.025111643597483635,0.009557053446769714
47,base_model.model.model.layers.19.self_attn.v_proj.lora.default,3200,3200,1.2538695231076917,0.34194859747579964,0.02527332864701748,0.010035805869847536
48,base_model.model.model.layers.2.self_attn.k_proj.lora.default,3200,3200,1.1945697352294982,0.29257088785413504,0.02486361749470234,0.008820101851597428
49,base_model.model.model.layers.2.self_attn.o_proj.lora.default,3200,3200,1.2788089680037429,0.33134592124862117,0.027082541026175022,0.010036736261099577
50,base_model.model.model.layers.2.self_attn.q_proj.lora.default,3200,3200,1.19249792505164,0.28347654193153804,0.025152844842523336,0.008532434003427625
51,base_model.model.model.layers.2.self_attn.v_proj.lora.default,3200,3200,1.251563831401223,0.298315100258011,0.04729227302595973,0.008797604823485017
52,base_model.model.model.layers.20.self_attn.k_proj.lora.default,3200,3200,1.2068525383706639,0.30747750877705887,0.025607110932469368,0.009560455800965428
53,base_model.model.model.layers.20.self_attn.o_proj.lora.default,3200,3200,1.230085397256337,0.33020013872482074,0.025748363696038723,0.009599294047802687
54,base_model.model.model.layers.20.self_attn.q_proj.lora.default,3200,3200,1.197548748966771,0.30365387157653295,0.024421838112175465,0.009250012692064047
55,base_model.model.model.layers.20.self_attn.v_proj.lora.default,3200,3200,1.2604008950183947,0.35656147471523225,0.025788387283682823,0.009727448923513293
56,base_model.model.model.layers.21.self_attn.k_proj.lora.default,3200,3200,1.2490983580368327,0.3413202497825866,0.02639743033796549,0.010284479008987546
57,base_model.model.model.layers.21.self_attn.o_proj.lora.default,3200,3200,1.2522359550996096,0.4045264663744105,0.02638949453830719,0.009595823707059026
58,base_model.model.model.layers.21.self_attn.q_proj.lora.default,3200,3200,1.2327444452434924,0.3317942489298544,0.025214292109012604,0.00952689559198916
59,base_model.model.model.layers.21.self_attn.v_proj.lora.default,3200,3200,1.279951810856483,0.37016015982280054,0.02638989221304655,0.009613893926143646
60,base_model.model.model.layers.22.self_attn.k_proj.lora.default,3200,3200,1.2179239621273588,0.3167537383084955,0.02555938670411706,0.009467969881370664
61,base_model.model.model.layers.22.self_attn.o_proj.lora.default,3200,3200,1.2613014880363718,0.4123381132293563,0.02665508445352316,0.009621783159673214
62,base_model.model.model.layers.22.self_attn.q_proj.lora.default,3200,3200,1.2094196653034852,0.3295176032934996,0.024877349846065044,0.010031067300587893
63,base_model.model.model.layers.22.self_attn.v_proj.lora.default,3200,3200,1.2708334082542216,0.37653680268684747,0.02606648998335004,0.010222403099760413
64,base_model.model.model.layers.23.self_attn.k_proj.lora.default,3200,3200,1.2730780280428884,0.374591859022616,0.02687151962891221,0.010841339826583862
65,base_model.model.model.layers.23.self_attn.o_proj.lora.default,3200,3200,1.2507503505420603,0.3907782035574734,0.02639049105346203,0.009574203286319971
66,base_model.model.model.layers.23.self_attn.q_proj.lora.default,3200,3200,1.243545002095844,0.35461754665540307,0.025477022398263216,0.01006027520634234
67,base_model.model.model.layers.23.self_attn.v_proj.lora.default,3200,3200,1.2913805855355882,0.39236238879595714,0.027059694286435843,0.010884072864428163
68,base_model.model.model.layers.24.self_attn.k_proj.lora.default,3200,3200,1.2401431357273456,0.3620270304346264,0.026428171433508396,0.009662786731496453
69,base_model.model.model.layers.24.self_attn.o_proj.lora.default,3200,3200,1.2574987974925784,0.4349352858267222,0.026663961820304394,0.00951799307949841
70,base_model.model.model.layers.24.self_attn.q_proj.lora.default,3200,3200,1.238715272806395,0.35812133844358923,0.025681720580905676,0.009385407902300358
71,base_model.model.model.layers.24.self_attn.v_proj.lora.default,3200,3200,1.2700229692054799,0.3793705878781209,0.02584366872906685,0.010092476150020957
72,base_model.model.model.layers.25.self_attn.k_proj.lora.default,3200,3200,1.2034147680639493,0.31593890037199535,0.024856125004589558,0.010192889720201492
73,base_model.model.model.layers.25.self_attn.o_proj.lora.default,3200,3200,1.2625070043307445,0.43669162201265865,0.02560182148590684,0.010684231296181679
74,base_model.model.model.layers.25.self_attn.q_proj.lora.default,3200,3200,1.1954634927179528,0.31084967335063723,0.02456493303179741,0.009264440974220634
75,base_model.model.model.layers.25.self_attn.v_proj.lora.default,3200,3200,1.2617983136745217,0.3981912744182735,0.0254505374468863,0.00980221969075501
76,base_model.model.model.layers.3.self_attn.k_proj.lora.default,3200,3200,1.1829591827820254,0.2908483512276261,0.024728509597480297,0.00898546795360744
77,base_model.model.model.layers.3.self_attn.o_proj.lora.default,3200,3200,1.2704509756713742,0.3327811698328352,0.02738230489194393,0.009739222470670938
78,base_model.model.model.layers.3.self_attn.q_proj.lora.default,3200,3200,1.1951828632347086,0.3101809289735436,0.024401902686804533,0.009537542471662164
79,base_model.model.model.layers.3.self_attn.v_proj.lora.default,3200,3200,1.2321834867338146,0.2985569027785835,0.07403151132166386,0.008437793934717774
80,base_model.model.model.layers.4.self_attn.k_proj.lora.default,3200,3200,1.216045788953996,0.3279246309912784,0.02556024957448244,0.009261250263080001
81,base_model.model.model.layers.4.self_attn.o_proj.lora.default,3200,3200,1.2653435318905422,0.33003829875321794,0.02776123257353902,0.00927907251752913
82,base_model.model.model.layers.4.self_attn.q_proj.lora.default,3200,3200,1.2061676460430193,0.3207449980228675,0.025054587051272392,0.009099602932110429
83,base_model.model.model.layers.4.self_attn.v_proj.lora.default,3200,3200,1.2303976534053176,0.29965466582190914,0.046136343851685524,0.00836952612735331
84,base_model.model.model.layers.5.self_attn.k_proj.lora.default,3200,3200,1.2011174111740712,0.31519391743330755,0.025100153870880604,0.009658774361014366
85,base_model.model.model.layers.5.self_attn.o_proj.lora.default,3200,3200,1.249832373810198,0.3155829488666039,0.0266210176050663,0.009103386662900448
86,base_model.model.model.layers.5.self_attn.q_proj.lora.default,3200,3200,1.2012546183316806,0.30284449355425536,0.024563928600400686,0.010153836803510785
87,base_model.model.model.layers.5.self_attn.v_proj.lora.default,3200,3200,1.2548645544915606,0.307617585348443,0.08277480024844408,0.008554917527362704
88,base_model.model.model.layers.6.self_attn.k_proj.lora.default,3200,3200,1.2023772045433674,0.3040334143936451,0.02512250281870365,0.008562387665733695
89,base_model.model.model.layers.6.self_attn.o_proj.lora.default,3200,3200,1.2601453834230747,0.34933696228902433,0.0270782383158803,0.009371831314638257
90,base_model.model.model.layers.6.self_attn.q_proj.lora.default,3200,3200,1.2001189454742685,0.30649279991436634,0.032817148603498936,0.008865915471687913
91,base_model.model.model.layers.6.self_attn.v_proj.lora.default,3200,3200,1.2644636351104046,0.3128298707162452,0.06946227978914976,0.00913119618780911
92,base_model.model.model.layers.7.self_attn.k_proj.lora.default,3200,3200,1.1977067243692994,0.30569406131240995,0.02425374835729599,0.009386100340634584
93,base_model.model.model.layers.7.self_attn.o_proj.lora.default,3200,3200,1.2667601660330794,0.34938694425551764,0.027256682980805635,0.00944991479627788
94,base_model.model.model.layers.7.self_attn.q_proj.lora.default,3200,3200,1.1955774161444148,0.303622048734599,0.025161443278193474,0.009053710848093033
95,base_model.model.model.layers.7.self_attn.v_proj.lora.default,3200,3200,1.25458511121232,0.32462078410341305,0.026694876607507467,0.009530359646305442
96,base_model.model.model.layers.8.self_attn.k_proj.lora.default,3200,3200,1.2125133652344953,0.3187165996287861,0.025202034041285515,0.010194637347012758
97,base_model.model.model.layers.8.self_attn.o_proj.lora.default,3200,3200,1.2796259663584995,0.35509439798015563,0.02744387462735176,0.009682093979790807
98,base_model.model.model.layers.8.self_attn.q_proj.lora.default,3200,3200,1.2121080190988383,0.32301515698421734,0.026142477057874203,0.01044164877384901
99,base_model.model.model.layers.8.self_attn.v_proj.lora.default,3200,3200,1.2765313907771871,0.33719007659377126,0.02715066634118557,0.00966277508996427
100,base_model.model.model.layers.9.self_attn.k_proj.lora.default,3200,3200,1.2177976821392387,0.31430113667444887,0.024949928279966116,0.009168746648356318
101,base_model.model.model.layers.9.self_attn.o_proj.lora.default,3200,3200,1.2647190608502468,0.3508774018751741,0.0282030520029366,0.0101685740519315
102,base_model.model.model.layers.9.self_attn.q_proj.lora.default,3200,3200,1.2115502350419483,0.31107622354545145,0.024941197596490383,0.009768031071871519
103,base_model.model.model.layers.9.self_attn.v_proj.lora.default,3200,3200,1.2900832184913207,0.3515741728495049,0.027156764641404152,0.009973328793421388
